大白菜,0.4,0.6,0.5,冀,斤,2022-08-18 00:00:00

娃娃菜,0.7,0.9,0.8,冀,斤,2022-08-18 00:00:00

小白菜,0.8,1.2,1.0,冀,斤,2022-08-18 00:00:00

圆白菜,0.5,0.8,0.65,冀,斤,2022-08-18 00:00:00

紫甘蓝,1.0,1.2,1.1,冀,斤,2022-08-18 00:00:00

芹菜,1.0,1.5,1.25,冀京,斤,2022-08-18 00:00:00

西芹,2.0,2.2,2.1,冀,斤,2022-08-18 00:00:00

菠菜,3.0,3.5,3.25,冀蒙,斤,2022-08-18 00:00:00

莴笋,0.8,1.2,1.0,冀蒙,斤,2022-08-18 00:00:00

团生菜,1.2,1.8,1.5,冀,斤,2022-08-18 00:00:00

散叶生菜,2.0,2.5,2.25,冀,斤,2022-08-18 00:00:00

罗马生菜,2.0,2.5,2.25,冀,斤,2022-08-18 00:00:00

油菜,2.5,2.8,2.65,冀京,斤,2022-08-18 00:00:00

香菜,11.0,14.0,12.5,冀,斤,2022-08-18 00:00:00

茴香,5.0,6.0,5.5,冀,斤,2022-08-18 00:00:00

韭菜,2.0,2.5,2.25,冀,斤,2022-08-18 00:00:00

苦菊,2.5,4.0,3.25,冀辽,斤,2022-08-18 00:00:00

油麦菜,4.0,4.5,4.25,冀,斤,2022-08-18 00:00:00

散菜花,0.8,1.3,1.05,冀辽,斤,2022-08-18 00:00:00

绿菜花,1.2,1.5,1.35,冀,斤,2022-08-18 00:00:00

扁豆,2.5,3.5,3.0,冀晋,斤,2022-08-15 00:00:00

豇豆,3.0,4.0,3.5,冀,斤,2022-08-15 00:00:00

白不老,3.0,3.8,3.4,辽冀晋,斤,2022-08-15 00:00:00

油豆,3.0,4.0,3.5,辽冀,斤,2022-08-15 00:00:00

毛豆,3.0,4.0,3.5,川云,斤,2022-08-15 00:00:00

玉米,1.0,1.3,1.15,冀,斤,2022-08-15 00:00:00

花生,3.0,4.2,3.6,冀粤皖,斤,2022-08-15 00:00:00

苦瓜,1.0,1.5,1.25,冀鲁,斤,2022-08-15 00:00:00

丝瓜,1.5,4.5,3.0,冀鲁,斤,2022-08-15 00:00:00

西葫芦,0.6,1.3,0.95,冀蒙晋,斤,2022-08-15 00:00:00

佛手瓜,2.5,2.6,2.55,鲁,斤,2022-08-15 00:00:00

瓠子,1.0,1.5,1.25,京,斤,2022-08-15 00:00:00

贝贝南瓜,1.7,1.8,1.75,蒙,斤,2022-08-15 00:00:00

金丝南瓜,3.0,3.3,3.15,蒙,斤,2022-08-15 00:00:00

板栗南瓜,1.6,1.8,1.7,新,斤,2022-08-15 00:00:00

南北瓜,0.7,0.9,0.8,湘鄂浙,斤,2022-08-15 00:00:00

尖椒,1.2,2.2,1.7,蒙冀,斤,2022-08-15 00:00:00

红尖椒,4.5,5.0,4.75,鲁,斤,2022-08-15 00:00:00

美人椒,7.0,8.0,7.5,鲁琼,斤,2022-08-15 00:00:00

螺丝椒,2.0,3.5,2.75,鲁冀,斤,2022-08-15 00:00:00

